trial,max_depth,min_child_weight,colsample_bytree,subsample,reg_lambda,reg_alpha,best_iteration,val_mae,val_rmse,val_mape,val_wmape,seconds
trial 11,5,5,1.0,0.7,5.0,0.0,44,3.3682899959878205,5.071763483083675,56.76767871313218,28.530377995564166,0.1
trial 23,5,10,1.0,0.7,3.0,0.5,44,3.393097762615292,5.105206655413446,57.031030727403774,28.74050686212571,0.1
trial 6,4,3,0.8,0.9,3.0,0.0,59,3.3942875439836837,5.125153320956414,55.55533146446038,28.7505846500278,0.1
trial 7,3,10,0.8,0.8,1.0,0.0,76,3.394914440463887,5.142979662816075,55.71011311276647,28.75589464220947,0.1
trial 13,4,5,0.8,0.9,3.0,0.0,65,3.395023895793543,5.125130453268404,55.534351247704414,28.75682176010384,0.1
trial 30,5,5,0.8,0.7,1.0,0.5,40,3.395072521560628,5.134195769894201,56.993200144754454,28.7572336342349,0.1
trial 17,3,5,0.8,0.8,1.0,0.0,69,3.3958600917205923,5.145809271539193,55.84303558135777,28.763904578360428,0.1
trial 15,5,3,0.6,0.8,3.0,0.5,46,3.398624654846528,5.1763588817475865,56.14206750842382,28.787321217387795,0.1
trial 9,4,5,0.6,0.9,3.0,1.0,59,3.3991664878764847,5.172683220175871,55.27894829957304,28.79191069785817,0.1
trial 28,5,5,1.0,0.9,5.0,0.0,48,3.401365168126175,5.128167011332047,57.45077238788,28.810534147350282,0.1
trial 4,3,3,0.6,0.9,5.0,0.0,72,3.4026956426811124,5.175632092079404,55.165996904230205,28.82180364671377,0.1
trial 29,3,5,0.6,0.9,5.0,0.0,76,3.4029146820701026,5.177919198708061,55.23717517255068,28.823658972879645,0.1
trial 10,3,10,0.6,0.9,3.0,1.0,58,3.4048677567814214,5.167868927654326,55.8979655761782,28.84020207333533,0.1
trial 2,3,3,1.0,0.7,5.0,1.0,57,3.405133244571938,5.127544304147728,56.696640928822674,28.842450830724292,0.1
trial 1,5,1,0.6,0.9,3.0,0.0,57,3.4054453143998726,5.210621640395285,55.44227203069767,28.8450941512705,0.1
trial 12,3,3,0.8,0.7,1.0,0.0,63,3.4056364548434117,5.1580084302553715,55.711988749438504,28.84671316540257,0.1
trial 19,5,10,0.6,0.8,1.0,0.0,45,3.408462071815932,5.1987262112735735,56.62816100555123,28.87064694794288,0.1
trial 27,3,5,1.0,0.7,5.0,0.0,56,3.4088660358856964,5.131512355515189,57.016452898156146,28.874068638955453,0.1
trial 8,4,1,0.6,0.8,1.0,0.5,65,3.4093052850290584,5.223426085509065,55.34849831831926,28.877789204616157,0.1
trial 26,4,1,0.8,0.8,1.0,0.5,45,3.4093087982278663,5.138545423685266,57.22483738322567,28.87781896241316,0.1
trial 18,5,5,0.6,0.9,3.0,0.5,57,3.410377259700687,5.214689992066175,55.73776011297333,28.886869136159955,0.1
trial 21,4,5,0.6,0.7,5.0,0.5,49,3.411191214772196,5.162046137650119,56.17109918142834,28.893763568019804,0.1
trial 22,3,1,0.6,0.7,5.0,0.0,51,3.4142049602992626,5.1541594292710045,56.479433677324344,28.919290853132445,0.1
trial 24,5,10,1.0,0.8,5.0,0.0,51,3.4155382177865956,5.163615826910688,56.938539926777224,28.930583924727927,0.1
trial 20,5,5,1.0,0.9,3.0,1.0,46,3.415930692031651,5.156645421900299,57.6518228395559,28.93390829364459,0.1
trial 16,5,3,1.0,0.8,1.0,0.0,61,3.4176824086440187,5.224800476860428,56.22879377434087,28.94874583350947,0.1
trial 3,5,1,1.0,0.8,1.0,0.0,46,3.4187210067004212,5.177857927469829,57.41269378330115,28.957543055592467,0.1
trial 5,5,3,1.0,0.9,5.0,1.0,44,3.4245720787529614,5.150401712776255,58.20291567358827,29.0071033065023,0.1
trial 25,5,1,1.0,0.9,3.0,1.0,48,3.4250588775674013,5.170717455258495,58.08402969012815,29.011226631453628,0.1
trial 14,5,1,1.0,0.9,1.0,1.0,39,3.428102557592565,5.200806424014979,58.31527309744203,29.037007470312187,0.1
production-defaults,5,1,1.0,0.9,1.0,0.0,37,3.4337152090801557,5.231136405713941,58.54747113946732,29.084548230961975,0.1
